X	Y	Z	Elem1	Elem2
0.0	2.0	-10.0	90.0	50.0
0.0	2.0	-12.0	100.0	75.0
0.0	2.0	-14.0	90.0	50.0
0.0	2.0	-16.0	80.0	25.0
0.0	2.0	-18.0	20.0	0.0
0.0	2.0	-20.0	00.0	0.0
8
16.0	4.0	0.0	0.0	0.0
16.0	4.0	-8.0	0.0	0.0
16.0	4.0	-10.0	0.0	0.0
16.0	4.0	-12.0	0.0	0.0
16.0	4.0	-14.0	0.0	0.0
16.0	4.0	-16.0	0.0	0.0
16.0	4.0	-18.0	0.0	0.0
16.0	4.0	-20.0	0.0	0.0
9
8.0	8.0	0.0	0.0	0.0
8.0	8.0	-8.0	0.0	0.0
8.0	8.0	-10.0	0.0	0.0
8.0	8.0	-12.0	0.0	0.0
8.0	8.0	-14.0	0.0	0.0
8.0	8.0	-16.0	0.0	0.0
8.0	8.0	-18.0	0.0	0.0
8.0	8.0	-20.0	0.0	0.0
10
16.0	8.0	0.0	0.0	0.0
16.0	8.0	-8.0	0.0	0.0
16.0	8.0	-10.0	0.0	0.0
16.0	8.0	-12.0	0.0	0.0
16.0	8.0	-14.0	0.0	0.0
16.0	8.0	-16.0	0.0	0.0
16.0	8.0	-18.0	0.0	0.0
16.0	8.0	-20.0	0.0	0.0
11 
0.0	16.0	0.0	0.0	0.0
0.0	16.0	-8.0	0.0	0.0
0.0	16.0	-10.0	0.0	0.0
0.0	16.0	-12.0	0.0	0.0
0.0	16.0	-14.0	0.0	0.0
0.0	16.0	-16.0	0.0	0.0
0.0	16.0	-18.0	0.0	0.0
0.0	16.0	-20.0	0.0	0.0
12
8.0	16.0	0.0	0.0	0.0
8.0	16.0	-8.0	0.0	0.0
8.0	16.0	-10.0	0.0	0.0
8.0	16.0	-12.0	0.0	0.0
8.0	16.0	-14.0	0.0	0.0
8.0	16.0	-16.0	0.0	0.0
8.0	16.0	-18.0	0.0	0.0
8.0	16.0	-20.0	0.0	0.0
13
24.0	16.0	0.0	0.0	0.0
24.0	16.0	-8.0	0.0	0.0
24.0	16.0	-10.0	0.0	0.0
24.0	16.0	-12.0	0.0	0.0
24.0	16.0	-14.0	0.0	0.0
24.0	16.0	-16.0	0.0	0.0
24.0	16.0	-18.0	0.0	0.0
24.0	16.0	-20.0	0.0	0.0
14
32.0	16.0	0.0	0.0	0.0
32.0	16.0	-8.0	0.0	0.0
32.0	16.0	-10.0	0.0	0.0
32.0	16.0	-12.0	0.0	0.0
32.0	16.0	-14.0	0.0	0.0
32.0	16.0	-16.0	0.0	0.0
32.0	16.0	-18.0	0.0	0.0
32.0	16.0	-20.0	0.0	0.0
15
4.0	-4.0	0.0	0.0	0.0
4.0	-4.0	-8.0	0.0	0.0
4.0	-4.0	-10.0	0.0	0.0
4.0	-4.0	-12.0	0.0	0.0
4.0	-4.0	-14.0	0.0	0.0
4.0	-4.0	-16.0	0.0	0.0
4.0	-4.0	-18.0	0.0	0.0
4.0	-4.0	-20.0	0.0	0.0
16
8.0	-4.0	0.0	0.0	0.0
8.0	-4.0	-8.0	0.0	0.0
8.0	-4.0	-10.0	0.0	0.0
8.0	-4.0	-12.0	0.0	0.0
8.0	-4.0	-14.0	0.0	0.0
8.0	-4.0	-16.0	0.0	0.0
8.0	-4.0	-18.0	0.0	0.0
8.0	-4.0	-20.0	0.0	0.0
17
16.0	-4.0	0.0	40.0	50.0
16.0	-4.0	-8.0	40.0	50.0
16.0	-4.0	-10.0	45.0	46.0
16.0	-4.0	-12.0	45.0	46.0
16.0	-4.0	-14.0	50.0	44.0
16.0	-4.0	-16.0	50.0	44.0
16.0	-4.0	-18.0	55.0	40.0
16.0	-4.0	-20.0	60.0	34.0
18
24.0	-8.0	0.0	10.0	40.0
24.0	-8.0	-8.0	20.0	50.0
24.0	-8.0	-10.0	30.0	70.0
24.0	-8.0	-12.0	30.0	65.0
24.0	-8.0	-14.0	40.0	65.0
24.0	-8.0	-16.0	40.0	70.0
24.0	-8.0	-18.0	50.0	70.0
24.0	-8.0	-20.0	50.0	75.0
19
4.0	-12.0	0.0	0.0	0.0
4.0	-12.0	-8.0	0.0	0.0
4.0	-12.0	-10.0	0.0	0.0
4.0	-12.0	-12.0	0.0	0.0
4.0	-12.0	-14.0	0.0	0.0
4.0	-12.0	-16.0	0.0	0.0
4.0	-12.0	-18.0	0.0	0.0
4.0	-12.0	-20.0	0.0	0.0
20 
0.0	-16.0	0.0	0.0	0.0
0.0	-16.0	-8.0	0.0	0.0
0.0	-16.0	-10.0	0.0	0.0
0.0	-16.0	-12.0	0.0	0.0
0.0	-16.0	-14.0	0.0	0.0
0.0	-16.0	-16.0	0.0	0.0
0.0	-16.0	-18.0	0.0	0.0
0.0	-16.0	-20.0	0.0	0.0
21
8.0	-16.0	0.0	0.0	0.0
8.0	-16.0	-8.0	0.0	0.0
8.0	-16.0	-10.0	0.0	0.0
8.0	-16.0	-12.0	0.0	0.0
8.0	-16.0	-14.0	0.0	0.0
8.0	-16.0	-16.0	0.0	0.0
8.0	-16.0	-18.0	0.0	0.0
8.0	-16.0	-20.0	0.0	0.0
22
16.0	-16.0	0.0	0.0	0.0
16.0	-16.0	-8.0	0.0	0.0
16.0	-16.0	-10.0	0.0	0.0
16.0	-16.0	-12.0	0.0	0.0
16.0	-16.0	-14.0	0.0	0.0
16.0	-16.0	-16.0	0.0	0.0
16.0	-16.0	-18.0	0.0	0.0
16.0	-16.0	-20.0	0.0	0.0
23
32.0	-16.0	0.0	0.0	0.0
32.0	-16.0	-8.0	0.0	0.0
32.0	-16.0	-10.0	0.0	0.0
32.0	-16.0	-12.0	0.0	0.0
32.0	-16.0	-14.0	0.0	0.0
32.0	-16.0	-16.0	0.0	0.0
32.0	-16.0	-18.0	0.0	0.0
32.0	-16.0	-20.0	0.0	0.0
24
-4.0	0.0	0.0	0.0	0.0
-4.0	0.0	-8.0	90.0	88.0
-4.0	0.0	-10.0	90.0	88.0
-4.0	0.0	-12.0	90.0	88.0
-4.0	0.0	-14.0	90.0	88.0
-4.0	0.0	-16.0	90.0	88.0
-4.0	0.0	-18.0	90.0	88.0
-4.0	0.0	-20.0	90.0	88.0
25
-8.0	0.0	0.0	0.0	0.0
-8.0	0.0	-8.0	0.0	0.0
-8.0	0.0	-10.0	0.0	0.0
-8.0	0.0	-12.0	0.0	0.0
-8.0	0.0	-14.0	0.0	0.0
-8.0	0.0	-16.0	0.0	0.0
-8.0	0.0	-18.0	0.0	0.0
-8.0	0.0	-20.0	0.0	0.0
26
-16.0	0.0	0.0	0.0	0.0
-16.0	0.0	-8.0	0.0	0.0
-16.0	0.0	-10.0	0.0	0.0
-16.0	0.0	-12.0	0.0	0.0
-16.0	0.0	-14.0	0.0	0.0
-16.0	0.0	-16.0	0.0	0.0
-16.0	0.0	-18.0	0.0	0.0
-16.0	0.0	-20.0	0.0	0.0
27
-24.0	0.0	0.0	0.0	0.0
-24.0	0.0	-8.0	0.0	0.0
-24.0	0.0	-10.0	0.0	0.0
-24.0	0.0	-12.0	0.0	0.0
-24.0	0.0	-14.0	0.0	0.0
-24.0	0.0	-16.0	0.0	0.0
-24.0	0.0	-18.0	0.0	0.0
-24.0	0.0	-20.0	0.0	0.0
28
-32.0	0.0	0.0	0.0	0.0
-32.0	0.0	-8.0	0.0	0.0
-32.0	0.0	-10.0	0.0	0.0
-32.0	0.0	-12.0	0.0	0.0
-32.0	0.0	-14.0	0.0	0.0
-32.0	0.0	-16.0	0.0	0.0
-32.0	0.0	-18.0	0.0	0.0
-32.0	0.0	-20.0	0.0	0.0
29
-8.0	4.0	0.0	0.0	0.0
-8.0	4.0	-8.0	0.0	0.0
-8.0	4.0	-10.0	0.0	0.0
-8.0	4.0	-12.0	0.0	0.0
-8.0	4.0	-14.0	0.0	0.0
-8.0	4.0	-16.0	0.0	0.0
-8.0	4.0	-18.0	0.0	0.0
-8.0	4.0	-20.0	0.0	0.0
30
-16.0	8.0	0.0	0.0	0.0
-16.0	8.0	-8.0	0.0	0.0
-16.0	8.0	-10.0	0.0	0.0
-16.0	8.0	-12.0	0.0	0.0
-16.0	8.0	-14.0	0.0	0.0
-16.0	8.0	-16.0	0.0	0.0
-16.0	8.0	-18.0	0.0	0.0
-16.0	8.0	-20.0	0.0	0.0
31
-8.0	16.0	0.0	0.0	0.0
-8.0	16.0	-8.0	0.0	0.0
-8.0	16.0	-10.0	0.0	0.0
-8.0	16.0	-12.0	0.0	0.0
-8.0	16.0	-14.0	0.0	0.0
-8.0	16.0	-16.0	0.0	0.0
-8.0	16.0	-18.0	0.0	0.0
-8.0	16.0	-20.0	0.0	0.0
32
-16.0	16.0	0.0	0.0	0.0
-16.0	16.0	-8.0	0.0	0.0
-16.0	16.0	-10.0	0.0	0.0
-16.0	16.0	-12.0	0.0	0.0
-16.0	16.0	-14.0	0.0	0.0
-16.0	16.0	-16.0	0.0	0.0
-16.0	16.0	-18.0	0.0	0.0
-16.0	16.0	-20.0	0.0	0.0
33
-32.0	16.0	0.0	0.0	0.0
-32.0	16.0	-8.0	0.0	0.0
-32.0	16.0	-10.0	0.0	0.0
-32.0	16.0	-12.0	0.0	0.0
-32.0	16.0	-14.0	0.0	0.0
-32.0	16.0	-16.0	0.0	0.0
-32.0	16.0	-18.0	0.0	0.0
-32.0	16.0	-20.0	0.0	0.0
34
-4.0	-4.0	0.0	0.0	0.0
-4.0	-4.0	-8.0	80.0	55.0
-4.0	-4.0	-10.0	80.0	55.0
-4.0	-4.0	-12.0	80.0	55.0
-4.0	-4.0	-14.0	80.0	55.0
-4.0	-4.0	-16.0	80.0	55.0
-4.0	-4.0	-18.0	80.0	55.0
-4.0	-4.0	-20.0	80.0	55.0
35
-8.0	-4.0	0.0	0.0	0.0
-8.0	-4.0	-8.0	0.0	0.0
-8.0	-4.0	-10.0	0.0	0.0
-8.0	-4.0	-12.0	0.0	0.0
-8.0	-4.0	-14.0	0.0	0.0
-8.0	-4.0	-16.0	0.0	0.0
-8.0	-4.0	-18.0	0.0	0.0
-8.0	-4.0	-20.0	0.0	0.0
36
-24.0	-8.0	0.0	0.0	0.0
-24.0	-8.0	-8.0	0.0	0.0
-24.0	-8.0	-10.0	0.0	0.0
-24.0	-8.0	-12.0	0.0	0.0
-24.0	-8.0	-14.0	0.0	0.0
-24.0	-8.0	-16.0	0.0	0.0
-24.0	-8.0	-18.0	0.0	0.0
-24.0	-8.0	-20.0	0.0	0.0
37
-4.0	-12.0	0.0	0.0	0.0
-4.0	-12.0	-8.0	60.0	29.0
-4.0	-12.0	-10.0	60.0	29.0
-4.0	-12.0	-12.0	60.0	29.0
-4.0	-12.0	-14.0	60.0	29.0
-4.0	-12.0	-16.0	60.0	29.0
-4.0	-12.0	-18.0	60.0	29.0
-4.0	-12.0	-20.0	60.0	29.0
38
-8.0	-16.0	0.0	0.0	0.0
-8.0	-16.0	-8.0	50.0	81.0
-8.0	-16.0	-10.0	50.0	81.0
-8.0	-16.0	-12.0	50.0	81.0
-8.0	-16.0	-14.0	50.0	81.0
-8.0	-16.0	-16.0	50.0	81.0
-8.0	-16.0	-18.0	50.0	81.0
-8.0	-16.0	-20.0	50.0	81.0
39
-16.0	-16.0	0.0	0.0	0.0
-16.0	-16.0	-8.0	40.0	84.0
-16.0	-16.0	-10.0	40.0	84.0
-16.0	-16.0	-12.0	40.0	84.0
-16.0	-16.0	-14.0	40.0	84.0
-16.0	-16.0	-16.0	40.0	84.0
-16.0	-16.0	-18.0	40.0	84.0
-16.0	-16.0	-20.0	40.0	84.0
40
-32.0	-16.0	0.0	0.0	0.0
-32.0	-16.0	-8.0	0.0	0.0
-32.0	-16.0	-10.0	0.0	0.0
-32.0	-16.0	-12.0	0.0	0.0
-32.0	-16.0	-14.0	0.0	0.0
-32.0	-16.0	-16.0	0.0	0.0
-32.0	-16.0	-18.0	0.0	0.0
-32.0	-16.0	-20.0	0.0	0.0
